Player,Team,Pos,Bye,ADP,Pass Yds,Pass TD,INT,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,FL,fg_20_29,fg_30_39,fg_40_49,fg_50p,xp_made,dst_sack,dst_int,dst_fum_rec,dst_td,dst_safety
Josh Allen,BUF,QB,7,14,4100,34,11,560,9,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Lamar Jackson,BAL,QB,7,18,3900,32,8,760,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Jayden Daniels,WAS,QB,14,26,3800,27,10,780,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,PHI,QB,9,32,3500,24,9,620,12,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Patrick Mahomes,KC,QB,10,44,4200,29,10,330,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Joe Burrow,CIN,QB,10,52,4600,36,10,180,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Baker Mayfield,TB,QB,9,68,4200,33,12,290,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0
C.J. Stroud,HOU,QB,6,74,4000,25,10,220,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Caleb Williams,CHI,QB,5,96,3700,24,9,340,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Justin Herbert,LAC,QB,5,104,4100,26,9,250,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0
Dak Prescott,DAL,QB,10,110,4200,28,11,150,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Brock Purdy,SF,QB,14,124,3900,26,11,260,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Bijan Robinson,ATL,RB,5,3,0,0,0,1350,11,62,520,3,2,0,0,0,0,0,0,0,0,0,0
Saquon Barkley,PHI,RB,9,2,0,0,0,1480,13,38,290,2,2,0,0,0,0,0,0,0,0,0,0
Jahmyr Gibbs,DET,RB,5,5,0,0,0,1180,10,54,460,3,2,0,0,0,0,0,0,0,0,0,0
Christian McCaffrey,SF,RB,14,9,0,0,0,1050,8,64,540,3,2,0,0,0,0,0,0,0,0,0,0
Ashton Jeanty,LV,RB,8,11,0,0,0,1200,9,42,330,2,2,0,0,0,0,0,0,0,0,0,0
De'Von Achane,MIA,RB,12,12,0,0,0,900,7,74,610,4,2,0,0,0,0,0,0,0,0,0,0
Derrick Henry,BAL,RB,7,10,0,0,0,1400,13,18,140,1,3,0,0,0,0,0,0,0,0,0,0
Josh Jacobs,GB,RB,5,16,0,0,0,1180,10,40,320,2,3,0,0,0,0,0,0,0,0,0,0
Bucky Irving,TB,RB,9,22,0,0,0,1050,7,48,390,2,2,0,0,0,0,0,0,0,0,0,0
Jonathan Taylor,IND,RB,11,20,0,0,0,1250,10,26,200,1,3,0,0,0,0,0,0,0,0,0,0
Chase Brown,CIN,RB,10,30,0,0,0,980,7,50,400,2,2,0,0,0,0,0,0,0,0,0,0
Kyren Williams,LAR,RB,8,28,0,0,0,1120,10,32,240,1,3,0,0,0,0,0,0,0,0,0,0
James Cook,BUF,RB,7,26,0,0,0,1100,11,32,250,1,2,0,0,0,0,0,0,0,0,0,0
Breece Hall,NYJ,RB,9,34,0,0,0,950,6,54,440,2,3,0,0,0,0,0,0,0,0,0,0
Omarion Hampton,LAC,RB,5,40,0,0,0,880,6,36,280,1,2,0,0,0,0,0,0,0,0,0,0
Kenneth Walker III,SEA,RB,8,42,0,0,0,930,7,38,300,1,3,0,0,0,0,0,0,0,0,0,0
Alvin Kamara,NO,RB,11,44,0,0,0,780,5,68,540,2,2,0,0,0,0,0,0,0,0,0,0
Chuba Hubbard,CAR,RB,14,50,0,0,0,940,7,36,280,1,2,0,0,0,0,0,0,0,0,0,0
James Conner,ARI,RB,8,54,0,0,0,890,7,34,270,1,3,0,0,0,0,0,0,0,0,0,0
TreVeyon Henderson,NE,RB,14,58,0,0,0,760,5,40,320,2,2,0,0,0,0,0,0,0,0,0,0
Aaron Jones,MIN,RB,6,62,0,0,0,820,5,44,350,2,3,0,0,0,0,0,0,0,0,0,0
David Montgomery,DET,RB,5,70,0,0,0,780,9,26,200,1,2,0,0,0,0,0,0,0,0,0,0
Tony Pollard,TEN,RB,10,76,0,0,0,860,5,40,310,1,2,0,0,0,0,0,0,0,0,0,0
RJ Harvey,DEN,RB,12,82,0,0,0,720,6,34,270,1,2,0,0,0,0,0,0,0,0,0,0
Isiah Pacheco,KC,RB,10,86,0,0,0,800,6,28,210,1,3,0,0,0,0,0,0,0,0,0,0
Brian Robinson Jr.,WAS,RB,14,98,0,0,0,760,6,24,180,1,2,0,0,0,0,0,0,0,0,0,0
Jaylen Warren,PIT,RB,5,102,0,0,0,640,3,48,380,2,2,0,0,0,0,0,0,0,0,0,0
Rhamondre Stevenson,NE,RB,14,112,0,0,0,700,4,34,260,1,3,0,0,0,0,0,0,0,0,0,0
Tyrone Tracy Jr.,NYG,RB,14,118,0,0,0,690,4,38,300,1,2,0,0,0,0,0,0,0,0,0,0
Najee Harris,LAC,RB,5,122,0,0,0,780,6,26,200,1,2,0,0,0,0,0,0,0,0,0,0
Ja'Marr Chase,CIN,WR,10,1,0,0,0,20,0,112,1520,13,1,0,0,0,0,0,0,0,0,0,0
Justin Jefferson,MIN,WR,6,4,0,0,0,10,0,104,1480,10,1,0,0,0,0,0,0,0,0,0,0
CeeDee Lamb,DAL,WR,10,6,0,0,0,20,0,102,1420,10,1,0,0,0,0,0,0,0,0,0,0
Puka Nacua,LAR,WR,8,8,0,0,0,30,0,98,1300,7,1,0,0,0,0,0,0,0,0,0,0
Malik Nabers,NYG,WR,14,7,0,0,0,10,0,100,1340,8,1,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,DET,WR,5,13,0,0,0,20,0,104,1290,9,1,0,0,0,0,0,0,0,0,0,0
Nico Collins,HOU,WR,6,15,0,0,0,0,0,88,1300,8,1,0,0,0,0,0,0,0,0,0,0
Brian Thomas Jr.,JAC,WR,8,14,0,0,0,20,0,90,1330,9,1,0,0,0,0,0,0,0,0,0,0
Drake London,ATL,WR,5,17,0,0,0,0,0,92,1250,8,1,0,0,0,0,0,0,0,0,0,0
A.J. Brown,PHI,WR,9,18,0,0,0,0,0,84,1240,8,1,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,MIA,WR,12,24,0,0,0,20,0,90,1200,7,1,0,0,0,0,0,0,0,0,0,0
